date,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team
2025-11-21,1629655.0,Daniel Gafford,DAL,pts,OVER,13.5,210,0.3225806451612903,0.5693909413549085,0.24681029619361822,0.7651119182002164,bovada,Bovada,2025-11-22T01:40:00Z,Dallas Mavericks,New Orleans Pelicans
2025-11-21,1641775.0,Jordan Walsh,BOS,pts,OVER,5.5,-110,0.5238095238095238,0.770549332870978,0.2467398090614542,0.471048726390049,williamhill_us,Caesars,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1630549.0,Day'Ron Sharpe,BKN,pts,OVER,6.5,100,0.5,0.7459980969838403,0.24599809698384034,0.4919961939676807,williamhill_us,Caesars,2025-11-22T00:40:00Z,Boston Celtics,Brooklyn Nets
2025-11-21,1626156.0,D'Angelo Russell,DAL,pts,OVER,13.5,100,0.5,0.7458358519648575,0.24583585196485747,0.49167170392971493,betmgm,BetMGM,2025-11-22T01:40:00Z,Dallas Mavericks,New Orleans Pelicans
2025-11-21,1630581.0,Josh Giddey,CHI,pts,OVER,20.5,-122,0.5495495495495496,0.7941487665134963,0.2445992169639467,0.4450903784098048,betrivers,BetRivers,2025-11-22T01:10:00Z,Chicago Bulls,Miami Heat
2025-11-21,1630543.0,Isaiah Jackson,IND,pts,OVER,7.5,100,0.5,0.7436914449608324,0.2436914449608324,0.4873828899216648,fanatics,Fanatics,2025-11-22T00:00:00Z,Cleveland Cavaliers,Indiana Pacers
2025-11-21,1641718.0,Keyonte George,UTA,pts,OVER,16.5,-200,0.6666666666666666,0.9097096860740962,0.24304301940742956,0.3645645291111443,bovada,Bovada,2025-11-22T03:10:00Z,Utah Jazz,Oklahoma City Thunder
2025-11-21,1641726.0,Dereck Lively II,DAL,pts,OVER,8.5,205,0.32786885245901637,0.5686412846794334,0.24077243222041705,0.7343559182722718,bovada,Bovada,2025-11-22T01:40:00Z,Dallas Mavericks,New Orleans Pelicans
2025-11-21,1628978.0,Donte DiVincenzo,MIN,pts,OVER,13.5,-102,0.504950495049505,0.7452007923351408,0.24025029728563585,0.4757898044284161,draftkings,DraftKings,2025-11-22T02:10:00Z,Phoenix Suns,Minnesota Timberwolves
2025-11-21,1630572.0,Sandro Mamukelashvili,TOR,pts,OVER,7.5,-122,0.5495495495495496,0.7884499181345,0.23890036858495045,0.4347203428349099,williamhill_us,Caesars,2025-11-22T00:40:00Z,Toronto Raptors,Washington Wizards
