player,team,plays,ladders,model,_plays_list,top_play,top_play_explain,top_play_baseline,top_play_reasons,top_play_consensus,top_play_line_adv
Jared McCain,OKC,[],[],"{'pts': 9.66314318221439, 'reb': 3.222623348236084, 'ast': 1.348301418505136, 'threes': 1.852125763893128, 'pra': 14.234067948955609}",[],,,,[],0.0,0.0
Jarrett Allen,CLE,[],[],"{'pts': 18.242061196963, 'reb': 9.802453023737128, 'ast': 1.979565870666504, 'threes': 0.3036761552529894, 'pra': 30.024080091366628}",[],,,,[],0.0,0.0
Javon Small,MEM,[],[],"{'pts': 13.800731522696358, 'reb': 4.871323108673096, 'ast': 2.828207969665528, 'threes': 1.6090187707515853, 'pra': 21.500262601034983}",[],,,,[],0.0,0.0
Javonte Green,DET,[],[],"{'pts': 9.345257702995749, 'reb': 3.8530502319335938, 'ast': 1.669436965739003, 'threes': 0.446748405059967, 'pra': 14.867744900668344}",[],,,,[],0.0,0.0
Jaylen Brown,BOS,[],[],"{'pts': 21.939848433274488, 'reb': 6.219675540924072, 'ast': 3.421623706817627, 'threes': 1.5854511643304363, 'pra': 31.581147681016187}",[],,,,[],0.0,0.0
Jaylen Wells,MEM,[],[],"{'pts': 12.71138331905398, 'reb': 2.9175981948002088, 'ast': 1.830158538717616, 'threes': 1.856832394464966, 'pra': 17.459140052571804}",[],,,,[],0.0,0.0
Jaylin Williams,OKC,[],[],"{'pts': 9.597676277160645, 'reb': 4.52632474899292, 'ast': 2.3614706993103027, 'threes': 1.080383062362671, 'pra': 16.485471725463867}",[],,,,[],0.0,0.0
Jaylon Tyson,CLE,[],[],"{'pts': 10.05834709032206, 'reb': 4.349477299404125, 'ast': 1.7580946318474218, 'threes': 0.6925819484414777, 'pra': 16.165919021573607}",[],,,,[],0.0,0.0
Jeff Green,HOU,[],[],"{'pts': 8.713404655456543, 'reb': 3.4797849655151367, 'ast': 1.6524816751480105, 'threes': 1.0815906524658203, 'pra': 13.84567129611969}",[],,,,[],0.0,0.0
Jeremy Sochan,SAS,[],[],"{'pts': 10.18370532989502, 'reb': 3.9060487747192383, 'ast': 1.9230457544326784, 'threes': 0.8929961323738098, 'pra': 16.012799859046936}",[],,,,[],0.0,0.0
Jericho Sims,MIL,[],[],"{'pts': 7.126479985316594, 'reb': 6.4790802001953125, 'ast': 0.9487292766571044, 'threes': 0.1347923980818854, 'pra': 14.554289462169011}",[],,,,[],0.0,0.0
Jonas Valančiūnas,DEN,[],[],"{'pts': 11.695606359080877, 'reb': 6.471872329711914, 'ast': 2.1467924727978915, 'threes': 0.2784204869732581, 'pra': 20.31427116159068}",[],,,,[],0.0,0.0
Jonathan Mogbo,TOR,[],[],"{'pts': 10.51715087890625, 'reb': 4.614050388336182, 'ast': 1.9495233297348025, 'threes': 0.7725943922996521, 'pra': 17.080724596977234}",[],,,,[],0.0,0.0
Jordan McLaughlin,SAS,[],[],"{'pts': 11.876056671142578, 'reb': 3.4668660163879395, 'ast': 2.2652297019958496, 'threes': 1.6385152339935305, 'pra': 17.608152389526367}",[],,,,[],0.0,0.0
Jordan Walsh,BOS,[],[],"{'pts': 9.65347801490804, 'reb': 4.706546783447266, 'ast': 1.812038540840149, 'threes': 1.3082697055331582, 'pra': 16.172063339195454}",[],,,,[],0.0,0.0
Josh Minott,BOS,[],[],"{'pts': 9.770397186279297, 'reb': 3.697683334350586, 'ast': 2.256655693054199, 'threes': 0.8257778286933899, 'pra': 15.724736213684082}",[],,,,[],0.0,0.0
Josh Okogie,HOU,[],[],"{'pts': 7.201235907418387, 'reb': 3.83149003982544, 'ast': 1.3893736600875854, 'threes': 0.5147152880629976, 'pra': 12.422099607331411}",[],,,,[],0.0,0.0
Julian Champagnie,SAS,[],[],"{'pts': 4.866724014282227, 'reb': 3.541750907897949, 'ast': 1.1888915512742133, 'threes': 0.3785528258156421, 'pra': 9.59736647345439}",[],,,,[],0.0,0.0
Julian Strawther,DEN,[],[],"{'pts': 15.956369327035228, 'reb': 4.382209036724703, 'ast': 1.8014019069383345, 'threes': 1.6416483730879663, 'pra': 22.139980270698263}",[],,,,[],0.0,0.0
Keldon Johnson,SAS,[],[],"{'pts': 11.264701719700344, 'reb': 4.892903804779053, 'ast': 1.244304661010286, 'threes': 1.271668401681997, 'pra': 17.401910185489683}",[],,,,[],0.0,0.0
Kelly Olynyk,SAS,[],[],"{'pts': 10.51066780090332, 'reb': 3.819828510284424, 'ast': 2.0024056434631348, 'threes': 1.0804557800292969, 'pra': 16.33290195465088}",[],,,,[],0.0,0.0
Kenrich Williams,OKC,[],[],"{'pts': 7.752257347106934, 'reb': 4.567132472991943, 'ast': 1.6789406538009644, 'threes': 0.8437160849571228, 'pra': 13.99833047389984}",[],,,,[],0.0,0.0
Keon Ellis,CLE,[],[],"{'pts': 9.485953992207843, 'reb': 3.2177939414978027, 'ast': 2.661580851203517, 'threes': 1.3631773420820648, 'pra': 15.365328784909163}",[],,,,[],0.0,0.0
Kevin Durant,HOU,[],[],"{'pts': 18.12034301757813, 'reb': 4.044010639190674, 'ast': 3.0780482292175293, 'threes': 1.9792770318193136, 'pra': 25.24240188598633}",[],,,,[],0.0,0.0
Kevin Huerter,DET,[],[],"{'pts': 8.3311368397304, 'reb': 4.22388219833374, 'ast': 2.1109399795532227, 'threes': 0.8759203482204708, 'pra': 14.665959017617364}",[],,,,[],0.0,0.0
Kevin Porter Jr.,MIL,[],[],"{'pts': 16.07670021057129, 'reb': 5.352904319763184, 'ast': 5.119492053985596, 'threes': 1.3650026321411133, 'pra': 26.54909658432007}",[],,,,[],0.0,0.0
Kyle Anderson,MEM,[],[],"{'pts': 11.59052211174598, 'reb': 5.095375061035156, 'ast': 2.389571189880371, 'threes': 0.6508127450942993, 'pra': 19.075468362661507}",[],,,,[],0.0,0.0
Kyle Kuzma,MIL,[],[],"{'pts': 12.22650890350342, 'reb': 5.322568893432617, 'ast': 1.7585431337356567, 'threes': 1.672842848355913, 'pra': 19.307620930671693}",[],,,,[],0.0,0.0
LJ Cryer,GSW,[],[],"{'pts': 10.846332550048828, 'reb': 3.7345032691955566, 'ast': 2.1378488540649414, 'threes': 1.112685203552246, 'pra': 16.718684673309326}",[],,,,[],0.0,0.0
Larry Nance Jr.,CLE,[],[],"{'pts': 11.132272720336914, 'reb': 4.545475006103516, 'ast': 2.244030475616455, 'threes': 1.008150577545166, 'pra': 17.921778202056885}",[],,,,[],0.0,0.0
Lawson Lovering,MEM,[],[],"{'pts': 8.479290008544922, 'reb': 4.964347839355469, 'ast': 1.102367281913757, 'threes': 0.6581978797912598, 'pra': 14.546005129814148}",[],,,,[],0.0,0.0
Lonzo Ball,CLE,[],[],"{'pts': 8.832136154174805, 'reb': 4.940526008605957, 'ast': 2.484705924987793, 'threes': 1.119246006011963, 'pra': 16.257368087768555}",[],,,,[],0.0,0.0
Luguentz Dort,OKC,[],[],"{'pts': 5.108609272184827, 'reb': 2.8874874114990234, 'ast': 0.7600551351236786, 'threes': 1.1704719264239225, 'pra': 8.75615181880753}",[],,,,[],0.0,0.0
Luka Garza,BOS,[],[],"{'pts': 11.61230002141996, 'reb': 4.669012069702148, 'ast': 1.846387505531311, 'threes': 0.9500259390132936, 'pra': 18.12769959665342}",[],,,,[],0.0,0.0
Luke Kornet,SAS,[],[],"{'pts': 7.0122777938842775, 'reb': 5.776336669921875, 'ast': 1.7740153074264526, 'threes': 0.5823230577480907, 'pra': 14.562629771232604}",[],,,,[],0.0,0.0
Luke Travers,CLE,[],[],"{'pts': 9.826898574829102, 'reb': 4.811954498291016, 'ast': 2.381609439849853, 'threes': 0.5112608075141907, 'pra': 17.02046251296997}",[],,,,[],0.0,0.0
Malevy Leons,GSW,[],[],"{'pts': 10.736207962036133, 'reb': 4.73483419418335, 'ast': 2.04511833190918, 'threes': 0.8175212740898132, 'pra': 17.516160488128662}",[],,,,[],0.0,0.0
Marcus Sasser,DET,[],[],"{'pts': 10.846532821655272, 'reb': 3.553007125854492, 'ast': 3.1665501594543457, 'threes': 0.813448965549469, 'pra': 17.56609010696411}",[],,,,[],0.0,0.0
Mark Sears,MIL,[],[],"{'pts': 11.778461456298828, 'reb': 3.957651138305664, 'ast': 2.210336685180664, 'threes': 1.2240805625915527, 'pra': 17.946449279785156}",[],,,,[],0.0,0.0
Max Shulga,BOS,[],[],"{'pts': 10.526987075805664, 'reb': 3.771494865417481, 'ast': 2.1168837547302246, 'threes': 0.9398559927940368, 'pra': 16.41536569595337}",[],,,,[],0.0,0.0
Maxime Raynaud,SAC,[],[],"{'pts': 14.175572463559998, 'reb': 6.96848201751709, 'ast': 0.6804991653560292, 'threes': 0.9497660841153606, 'pra': 21.82455364643312}",[],,,,[],0.0,0.0
Mo Bamba,TOR,[],[],"{'pts': 9.706576347351074, 'reb': 4.306027889251709, 'ast': 2.149050235748291, 'threes': 0.6572533249855042, 'pra': 16.161654472351074}",[],,,,[],0.0,0.0
Moses Moody,GSW,[],[],"{'pts': 13.925596548575625, 'reb': 2.838447093963623, 'ast': 2.048549355932454, 'threes': 2.630473914899324, 'pra': 18.812592998471704}",[],,,,[],0.0,0.0
Nae'Qwan Tomlin,CLE,[],[],"{'pts': 7.703726768493652, 'reb': 4.434997081756592, 'ast': 1.6592290725286347, 'threes': 0.0926852835378082, 'pra': 13.79795292277888}",[],,,,[],0.0,0.0
